time mnvel errvel tel svalue
2.451552077159999870e+06 7.613999999999999879e+00 2.552000000000000046e+00 hires \nodata
2.451583948020000011e+06 1.538999999999999924e+00 2.182999999999999829e+00 hires \nodata
2.451706865269999951e+06 -1.309099999999999930e+01 2.975000000000000089e+00 hires \nodata
2.451983015360000078e+06 1.123199999999999932e+01 3.004000000000000004e+00 hires \nodata
2.452064870509999804e+06 1.317500000000000071e+01 3.267999999999999794e+00 hires \nodata
2.452308084199999925e+06 1.862399999999999878e+01 2.741999999999999993e+00 hires \nodata
2.452333038089999929e+06 -2.631200000000000117e+01 3.274000000000000021e+00 hires \nodata
2.452334054039999843e+06 1.772800000000000153e+01 2.830000000000000071e+00 hires \nodata
2.452334935180000030e+06 -3.196000000000000174e+00 2.978000000000000203e+00 hires \nodata
2.452363038840000052e+06 1.446599999999999930e+01 3.091000000000000192e+00 hires \nodata
2.452681056869999971e+06 1.156600000000000072e+01 3.322000000000000064e+00 hires \nodata
2.452711897979999892e+06 2.931000000000000050e+00 2.758000000000000007e+00 hires \nodata
2.452712902220000047e+06 3.636000000000000121e+00 2.887000000000000011e+00 hires \nodata
2.452804877799999900e+06 1.962500000000000000e+01 2.854000000000000092e+00 hires \nodata
2.452805829239999875e+06 -4.687000000000000277e+00 2.595000000000000195e+00 hires \nodata
2.452828799540000036e+06 1.774299999999999855e+01 2.717000000000000082e+00 hires \nodata
2.452832758229999803e+06 -2.205399999999999849e+01 2.689000000000000057e+00 hires \nodata
2.452833762970000040e+06 1.236999999999999922e+01 2.629999999999999893e+00 hires \nodata
2.452834778609999921e+06 -3.718999999999999861e+00 3.587000000000000188e+00 hires \nodata
2.452848751559999771e+06 -1.846600000000000108e+01 2.729000000000000092e+00 hires \nodata
2.452849754910000134e+06 1.994000000000000128e+01 3.837000000000000188e+00 hires \nodata
2.452849763030000031e+06 1.917000000000000171e+01 3.866000000000000103e+00 hires \nodata
2.452849770880000200e+06 2.353000000000000114e+01 4.395999999999999908e+00 hires \nodata
2.452850755849999841e+06 -1.981999999999999984e+00 3.846000000000000085e+00 hires \nodata
2.452850763549999800e+06 -8.100000000000000255e-02 3.826999999999999957e+00 hires \nodata
2.452850772109999787e+06 -2.210000000000000020e-01 3.677000000000000046e+00 hires \nodata
2.452988126310000196e+06 1.260000000000000009e-01 3.415000000000000036e+00 hires \nodata
2.452988133140000049e+06 -3.043000000000000149e+00 3.286000000000000032e+00 hires \nodata
2.452988142810000107e+06 -9.564000000000000057e+00 3.295999999999999819e+00 hires \nodata
2.452988149730000179e+06 -1.933000000000000052e+00 3.079000000000000181e+00 hires \nodata
2.452988156570000108e+06 -8.309999999999999609e-01 3.583000000000000185e+00 hires \nodata
2.452988163370000198e+06 -4.120000000000000107e+00 3.375000000000000000e+00 hires \nodata
2.452989138009999879e+06 -1.221799999999999997e+01 3.306000000000000050e+00 hires \nodata
2.452989146250000224e+06 -1.371899999999999942e+01 3.572999999999999954e+00 hires \nodata
2.452989154140000232e+06 -1.471799999999999997e+01 3.681999999999999940e+00 hires \nodata
2.453015137149999849e+06 -8.454000000000000625e+00 2.674999999999999822e+00 hires \nodata
2.453015145089999773e+06 -1.475399999999999956e+01 2.705000000000000071e+00 hires \nodata
2.453016067960000131e+06 1.036999999999999922e+01 2.556000000000000050e+00 hires \nodata
2.453016075980000198e+06 1.486100000000000065e+01 2.358999999999999986e+00 hires \nodata
2.453017041699999943e+06 4.873000000000000220e+00 2.636000000000000121e+00 hires \nodata
2.453017050270000007e+06 6.112000000000000099e+00 2.358999999999999986e+00 hires \nodata
2.453018138100000098e+06 -9.705999999999999517e+00 2.823999999999999844e+00 hires \nodata
2.453018146310000215e+06 -2.315999999999999837e+00 2.725000000000000089e+00 hires \nodata
2.453044105589999817e+06 -1.452999999999999936e+01 2.766000000000000014e+00 hires \nodata
