t terr
2458362.95999 0.00010
2454661.50289 0.00013
2458886.4506827453 0.00075
2458878.5281523624 0.00073
2458870.5935419793 0.00089
2458619.419770181 0.00085
2458582.403438505 0.00072
2458566.540817792 0.0008
2458566.5363777913 0.00086
2458545.3976668473 0.0009
2458537.4553164938 0.00061
2458529.5276261424 0.00075
2458529.5265861424 0.00062
2458241.349363796 0.00107
2458241.3438937957 0.00144
2458233.4128834745 0.00054
2458233.4094634745 0.0009
2458172.599641069 0.00075
2457855.335300327 0.00098
2457810.3821391114 0.001
2457797.166038775 0.00074
2457437.595292705 0.0008
2457149.4111225866 0.00075
2457096.5331930304 0.00081
2457067.4518533396 0.00095
2457011.9283740413 0.00079
2456792.4841881194 0.00058
2456744.898049243 0.00099
2456726.388339704 0.00075
2456723.7431397713 0.00063
2456681.44051089 0.00064
2456670.865431181 0.00043
2456662.934791403 0.00046
2456406.477819295 0.00074
2456057.479510883 0.00077
2456036.331091539 0.00091
2456025.7550618653 0.00094
2455991.383852917 0.00071
2455991.3795129173 0.00078
2455967.5883036344 0.00078
2455935.8627745686 0.00105
2455930.570864721 0.00086
2455922.6400049482 0.00081
2455679.403130699 0.00077
2455676.7597207464 0.00065
2455676.7591807465 0.00088
2455671.467850841 0.00068
2455650.320281205 0.00097
2455634.4576914636 0.00115
2455634.4559914637 0.00078
2455626.5240215887 0.00108
2455626.5228415886 0.00068
2455594.7972520613 0.00087
2455573.6435223524 0.00102
2455293.3950038687 0.00135
2455293.3940238687 0.00095
2455269.6017837976 0.0009
2455253.734823732 0.00075
2455253.734823732 0.00075
2454944.3998197196 0.0012
2454936.4701895523 0.00099
2454915.3168190937 0.0009
2454899.45551874 0.0009
2454862.439487885 0.0009
2454862.439057885 0.00103
2454600.697960449 0.00118
2454592.7628201935 0.00084
2454592.762030193 0.00177
2454592.761240193 0.0014
2454584.833019937 0.00117
2454584.8308499367 0.00035
2454584.8307099366 0.0014
2454584.8286899365 0.00166
2454563.6796892453 0.00051
2454563.6793792453 0.00257
2454558.3924990706 0.00099
2454547.8153087194 0.0014
2454534.5961182774 0.00014
2454531.951308189 0.0018
2454505.515607298 0.0022
2454497.5790070286 0.0025
2454455.2792465915 0.00026
2454280.78210954 0.00011
2454280.78185954 0.00015
2454280.78148954 0.00016
2454246.410118326 0.00079
2454225.2605175865 0.00089
2454225.2604975863 0.00072
2453381.855817318 0.00179
